meanImp,medianImp,minImp,maxImp,normHits,decision
5.306605553506925,5.363683091197623,2.4541930835391206,7.1641214875158425,1,Confirmed
74.42781566639806,74.17751977903787,68.63196451355596,82.08805146640361,1,Confirmed
5.067597428037005,5.037936707764295,2.499092655537264,7.41270880947532,0.98989898989899,Confirmed
3.737370934253909,3.6306610364326697,1.1664333956545245,5.520907880970758,0.8383838383838383,Confirmed
7.746241818113186,7.751167057551923,5.443084158139177,10.032761648168982,1,Confirmed
3.1291849936020095,3.0828730535073428,0.8714250273160842,5.989761493233308,0.7575757575757576,Confirmed
8.74492426702472,8.74509536422863,5.926865503846997,10.582188156262548,1,Confirmed
7.3602770830685005,7.4450908558506015,4.890077804481006,9.07061394888068,0.98989898989899,Confirmed
2.6912500335922696,2.711499258152387,0.13200084116932403,5.290075200146778,0.6262626262626263,Tentative
14.276327966678414,14.381097342288058,11.854749310714547,16.259565985926884,1,Confirmed
13.169054163312888,13.298583682772968,11.19506081823986,15.910907195415916,1,Confirmed
13.190629619910526,13.233138697077267,10.655732894316133,15.069043862625492,1,Confirmed
13.829236413764507,13.821933039067307,12.14476755398225,15.492805813874252,1,Confirmed
13.06297958328655,12.984471263622936,11.539488882955501,15.293388047539672,1,Confirmed
13.96312314689636,13.990234282257875,11.974812944706969,15.645093359258402,1,Confirmed
14.51092434335388,14.504430070328956,12.830573802432648,16.152815734807607,1,Confirmed
14.565324167225139,14.588460260589637,12.687911916287188,16.44131146009157,1,Confirmed
14.723877181339946,14.661195125507811,12.915033596437892,16.76957293228906,1,Confirmed
11.486694674004834,11.459538793582054,9.67816885455741,13.726435978602186,1,Confirmed
14.156627468527509,14.06965119439546,12.099915987238164,16.269648123396014,1,Confirmed
12.807664972042273,12.748286865109394,10.891267712945977,14.949096948320731,1,Confirmed
12.56977908384372,12.485437601346145,10.788942070416752,14.761800391710574,1,Confirmed
11.164717086859254,11.190428875241597,9.79560187762625,12.8422692800224,1,Confirmed
10.24000463873775,10.275766165856501,8.456838779090564,12.276555002579705,1,Confirmed
11.081580747289685,11.12797178627744,9.539752760102177,12.764984447574498,1,Confirmed
9.337316361097708,9.349383320905092,5.796585841719951,11.359358344513101,1,Confirmed
12.96721143366664,12.94513616350091,11.118494992477906,14.774585499623758,1,Confirmed
12.692243062287078,12.654642336858503,11.16076762431489,15.125162385422065,1,Confirmed
0,0,0,0,0,Rejected
