"","Feature","Trend_changes","Trend_changes_test","Trend_correlation"
"19","maxL",2,4,0.800585370983496
"33","max_diff",3,3,0.817046084211762
"34","range_diff",3,3,0.817046084211762
"35","sum_diff",2,3,0.892721874133699
"36","median_diff",2,4,0.846695895516543
"37","var_diff",2,3,0.906951334990844
"38","sd_diff",3,6,0.8480699622199
"39","iqr_diff",2,6,0.898874629398373
"41","mad_diff",4,0,0.922675401483599
"47","LAM_diff",5,4,0.828520603319764
