meanImp,medianImp,minImp,maxImp,normHits,decision,feature
3.232369831312963,3.2736760459133807,0.5413537181198117,6.0272695311064215,0.696969696969697,Confirmed,n_utterances
0.9712635561805164,0.7997196299896027,-0.7414207248393598,3.139226194720136,0.04040404040404041,Rejected,median_duration
3.5207607385094697,3.502035388357673,0.9297962516970356,5.857512008360543,0.7676767676767676,Confirmed,mean_duration
2.377913937297824,2.4239542625035027,-0.5520219465014273,4.881052926318816,0.4444444444444444,Rejected,min_duration
2.120464485179702,2.1301627931493186,-0.03697601775797932,4.351277649852976,0.3434343434343434,Confirmed,max_duration
4.693976086775105,4.663806252330482,2.245764960061735,6.888481732472198,0.9191919191919192,Confirmed,sd_duration
2.956396362452093,2.9944125242527364,0.200431789638585,5.422407594280553,0.5858585858585859,Rejected,iqr_duration
5.079815720504859,5.093841252880457,2.724419869908285,7.342530155289765,0.9696969696969697,Confirmed,nbr.null
3.7279333378751818,3.616085118377108,1.4505073808063622,7.198339495497305,0.8080808080808081,Confirmed,max
4.6383111314679475,4.68739971064833,1.4228950219913028,6.36945012756706,0.9393939393939394,Confirmed,sum
4.5969779500035255,4.631815521787363,2.042322238279334,6.7908934050903245,0.9393939393939394,Confirmed,median
5.564657166920779,5.53062164961095,3.512250983339103,7.391605352921719,1,Confirmed,var
5.434715507875312,5.470608693233181,2.973254131779978,7.735902626161593,0.98989898989899,Confirmed,sd
5.408879401956179,5.208556255784374,3.4304160484929356,7.869560627353553,0.9797979797979798,Confirmed,iqr
4.242801573694803,4.342471030204891,2.1456677804482025,6.917306105143245,0.9090909090909091,Confirmed,X25.
5.555478254077138,5.538196723638493,2.9152247273756022,7.884922055386888,0.98989898989899,Confirmed,mad
4.095630997410542,4.109282974254968,1.3667733244085771,6.141289929016961,0.9090909090909091,Confirmed,DET
5.4663447283108075,5.37159123978165,3.0906161077120293,8.346773745099282,0.98989898989899,Confirmed,NRLINE
3.200829016533624,3.253206091056886,0.4589609226728925,5.31173211304736,0.696969696969697,Confirmed,maxL
3.802245966268598,3.7442515355130768,0.7946781374131519,6.4884430349631765,0.797979797979798,Confirmed,L
2.9707308877451877,3.0238112738609346,0.5090065185688782,5.912357598545861,0.6161616161616161,Rejected,ENTR
2.272779734564917,2.347367271405545,0.3752805902885663,4.892255265693415,0.3434343434343434,Rejected,rENTR
5.180871822989823,5.024196130453819,3.4021788024699244,7.695178518345573,0.9797979797979798,Confirmed,LAM
6.737600917283833,6.810274077743304,4.636165162542727,9.11706874737369,1,Confirmed,TT
1.37541471550953,1.3040884627467635,-0.582848268896926,3.7147655584128505,0.06060606060606061,Rejected,n_utterances_diff
1.926182173053917,1.8113881866556878,0.3711581572423528,3.4826923857645475,0.04040404040404041,Rejected,median_duration_diff
2.0797557777132236,2.0837841865343534,0.001428687207491792,4.494745923499471,0.23232323232323232,Rejected,mean_duration_diff
0.6826332750891818,0.6415257447804216,-0.9632235887104948,2.813931777399111,0.010101010101010102,Rejected,min_duration_diff
0.999693847105352,1.4534070254633673,-0.830798193298971,2.301069113684573,0.010101010101010102,Rejected,max_duration_diff
1.4020694855744473,1.405039425504429,-0.6212804274656114,3.3884100197934592,0.04040404040404041,Rejected,sd_duration_diff
1.1031643650931715,0.9190982415219,-0.8363791778895517,3.776098545845611,0.020202020202020204,Rejected,iqr_duration_diff
10.521559062912072,10.51668337827176,8.304449468968745,12.316863077186026,1,Confirmed,nbr.null_diff
7.052414646302024,7.0494033407091825,5.166468227284214,8.74651652013842,1,Confirmed,max_diff
7.071731661367387,7.043627165472586,5.160838624559245,8.816029208697593,1,Confirmed,range_diff
13.415581504273995,13.385508103918971,11.18494663886884,15.216747638011629,1,Confirmed,sum_diff
12.232140693863913,12.24023319233863,10.21838978651208,14.611266397502396,1,Confirmed,median_diff
10.745156225772869,10.692768982504422,8.289005109113411,12.397060901453415,1,Confirmed,var_diff
10.855309257746999,10.722074365006891,8.637708204130977,13.679947011476294,1,Confirmed,sd_diff
17.63536385136617,17.695622288594166,15.617141412285653,19.539295854540967,1,Confirmed,iqr_diff
8.935315224551212,8.952173982194093,7.426304137500033,11.13839125673006,1,Confirmed,X25._diff
14.162257959725627,14.1354396896565,11.046669646956314,15.825453656822036,1,Confirmed,mad_diff
3.9839698114042164,3.9078598542353435,1.5108078394653564,5.928635459473021,0.8282828282828283,Confirmed,DET_diff
6.606364567533578,6.570005695552089,4.225621124018625,8.849920336896536,1,Confirmed,NRLINE_diff
7.267132769459807,7.2059198887768625,4.513597650515425,9.336027813026602,1,Confirmed,L_diff
4.18792662666782,4.238413680051251,1.2384950352905069,5.917006042891728,0.9090909090909091,Confirmed,ENTR_diff
2.920971511913376,2.7939177479042505,0.4906168318350132,5.377408770746278,0.5858585858585859,Rejected,rENTR_diff
5.658302450010978,5.685823069043781,3.854786839712685,8.476107361756924,0.98989898989899,Confirmed,LAM_diff
6.319534167851305,6.339113359250179,3.996800281085897,8.628557382759867,1,Confirmed,TT_diff
